iter	Passed	Remaining
0	163	163583
1	173	86812
2	182	60779
3	191	47763
4	201	40155
5	211	34962
6	221	31437
7	232	28800
8	242	26678
9	251	24928
10	261	23544
11	271	22366
12	280	21317
13	291	20518
14	301	19767
15	311	19173
16	321	18566
17	329	17984
18	338	17479
19	347	17029
20	357	16684
21	367	16347
22	378	16072
23	387	15748
24	397	15500
25	406	15219
26	415	14979
27	427	14832
28	437	14638
29	448	14501
30	460	14390
31	469	14206
32	480	14067
33	489	13916
34	499	13765
35	508	13617
36	517	13461
37	527	13358
38	537	13233
39	548	13161
40	559	13087
41	570	13023
42	583	12981
43	593	12897
44	604	12826
45	613	12725
46	624	12655
47	633	12574
48	644	12516
49	656	12470
50	666	12401
51	679	12386
52	690	12346
53	700	12276
54	712	12240
55	722	12175
56	733	12141
57	745	12106
58	756	12062
59	767	12020
60	776	11950
61	788	11924
62	797	11867
63	810	11855
64	822	11833
65	832	11780
66	843	11747
67	854	11713
68	865	11675
69	875	11637
70	885	11592
71	897	11566
72	909	11544
73	919	11505
74	932	11496
75	941	11446
76	953	11425
77	963	11390
78	974	11358
79	983	11312
80	993	11275
81	1006	11264
82	1015	11224
83	1026	11198
84	1036	11158
85	1047	11134
86	1059	11120
87	1070	11090
88	1082	11077
89	1093	11059
90	1105	11040
91	1117	11027
92	1129	11015
93	1141	11001
94	1153	10986
95	1163	10955
96	1172	10919
97	1183	10889
98	1191	10844
99	1201	10809
100	1212	10789
101	1220	10748
102	1230	10712
103	1238	10668
104	1246	10625
105	1255	10592
106	1267	10576
107	1277	10554
108	1287	10521
109	1296	10491
110	1305	10457
111	1315	10428
112	1323	10392
113	1333	10366
114	1342	10335
115	1352	10306
116	1362	10279
117	1371	10248
118	1380	10217
119	1390	10194
120	1400	10176
121	1411	10157
122	1423	10148
123	1432	10122
124	1443	10103
125	1452	10075
126	1461	10046
127	1471	10021
128	1479	9988
129	1487	9955
130	1497	9935
131	1506	9908
132	1515	9880
133	1525	9858
134	1535	9839
135	1545	9819
136	1554	9789
137	1563	9763
138	1572	9743
139	1581	9715
140	1590	9689
141	1600	9670
142	1610	9649
143	1619	9629
144	1628	9604
145	1637	9580
146	1648	9566
147	1658	9546
148	1669	9537
149	1680	9521
150	1691	9509
151	1701	9494
152	1711	9472
153	1719	9448
154	1730	9433
155	1739	9409
156	1748	9388
157	1757	9368
158	1766	9345
159	1777	9329
160	1788	9321
