SHAP FEATURE IMPORTANCE RANKING
==================================================

                        Feature  Importance
                  Expense_Ratio    0.469703
                     Dependents    0.342200
                    Savings_Gap    0.084000
                  Recovery_Rate    0.066621
              Disposable_Income    0.017447
                            Age    0.010916
                           Rent    0.007160
                         Income    0.006671
                      Education    0.006210
                      Insurance    0.005476
    Potential_Savings_Education    0.005180
                      Utilities    0.003040
                  Miscellaneous    0.003016
Potential_Savings_Entertainment    0.002899
                 Loan_Repayment    0.002790
        Total_Potential_Savings    0.002644
                     Healthcare    0.002579
                     Eating_Out    0.002493
                      Transport    0.002451
    Potential_Savings_Groceries    0.002321
               City_Tier_Tier_2    0.002193
Potential_Savings_Miscellaneous    0.002164
     Desired_Savings_Percentage    0.002070
   Potential_Savings_Eating_Out    0.001817
    Potential_Savings_Utilities    0.001791
                  Entertainment    0.001756
    Potential_Savings_Transport    0.001357
   Potential_Savings_Healthcare    0.001347
                 Total_Expenses    0.001129
                Desired_Savings    0.000911
                      Groceries    0.000640
             Occupation_Retired    0.000636
             Occupation_Student    0.000173
               City_Tier_Tier_3    0.000151
       Occupation_Self_Employed    0.000124

Base Value (Expected Model Output): N/A (PermutationExplainer)
